dll,export,dll-hash,export-hash
kernel32.dll,AcquireSRWLockExclusive,0xd78acaf904a2cf36,0x5c6095cd9e0bc46f
kernel32.dll,AcquireSRWLockShared,0xd78acaf904a2cf36,0xd3bb6b5d7870d71e
kernel32.dll,ActivateActCtx,0xd78acaf904a2cf36,0xab1badad8081c66a
kernel32.dll,ActivateActCtxWorker,0xd78acaf904a2cf36,0xd7bb13d4dfbd5671
kernel32.dll,AddAtomA,0xd78acaf904a2cf36,0xe67b533cbec63239
kernel32.dll,AddAtomW,0xd78acaf904a2cf36,0xe67b533dc715c2d4
kernel32.dll,AddConsoleAliasA,0xd78acaf904a2cf36,0x2d14a921fafe5ba6
kernel32.dll,AddConsoleAliasW,0xd78acaf904a2cf36,0x2d14a923756ed081
kernel32.dll,AddDllDirectory,0xd78acaf904a2cf36,0x962d6406aaa7b132
kernel32.dll,AddIntegrityLabelToBoundaryDescriptor,0xd78acaf904a2cf36,0x214d9f659ee9fb01
kernel32.dll,AddLocalAlternateComputerNameA,0xd78acaf904a2cf36,0x283c72c91db4e49e
kernel32.dll,AddLocalAlternateComputerNameW,0xd78acaf904a2cf36,0x283c72cda599f456
kernel32.dll,AddRefActCtx,0xd78acaf904a2cf36,0x510192e714cab564
kernel32.dll,AddRefActCtxWorker,0xd78acaf904a2cf36,0x94e9e689f76b7374
kernel32.dll,AddResourceAttributeAce,0xd78acaf904a2cf36,0x4906878e85c57d6f
kernel32.dll,AddSIDToBoundaryDescriptor,0xd78acaf904a2cf36,0xaa59e865dc85a965
kernel32.dll,AddScopedPolicyIDAce,0xd78acaf904a2cf36,0xe00ac9926467a82f
kernel32.dll,AddSecureMemoryCacheCallback,0xd78acaf904a2cf36,0xd694cb27ce556fd9
kernel32.dll,AddVectoredContinueHandler,0xd78acaf904a2cf36,0x1983eb69781ff2bf
kernel32.dll,AddVectoredExceptionHandler,0xd78acaf904a2cf36,0xfe735b751da4bcf4
kernel32.dll,AdjustCalendarDate,0xd78acaf904a2cf36,0x676d36921e55a8b9
kernel32.dll,AllocConsole,0xd78acaf904a2cf36,0x641ff3352dc0ea38
kernel32.dll,AllocateUserPhysicalPages,0xd78acaf904a2cf36,0xbf92c3d6013d8e42
kernel32.dll,AllocateUserPhysicalPagesNuma,0xd78acaf904a2cf36,0xb11a0a1442ddd31a
kernel32.dll,AppPolicyGetClrCompat,0xd78acaf904a2cf36,0xa67b2460fdd78b64
kernel32.dll,AppPolicyGetCreateFileAccess,0xd78acaf904a2cf36,0x3a55923906e2a784
kernel32.dll,AppPolicyGetLifecycleManagement,0xd78acaf904a2cf36,0x6830828742658087
kernel32.dll,AppPolicyGetMediaFoundationCodecLoading,0xd78acaf904a2cf36,0xe2b508d549009b2b
kernel32.dll,AppPolicyGetProcessTerminationMethod,0xd78acaf904a2cf36,0x2eb9105bb722873a
kernel32.dll,AppPolicyGetShowDeveloperDiagnostic,0xd78acaf904a2cf36,0xf705c0af63602dd1
kernel32.dll,AppPolicyGetThreadInitializationType,0xd78acaf904a2cf36,0x1d22c8347ff40b1f
kernel32.dll,AppPolicyGetWindowingModel,0xd78acaf904a2cf36,0x85da7b357872c2c6
kernel32.dll,AppXGetOSMaxVersionTested,0xd78acaf904a2cf36,0xef749ce561660185
kernel32.dll,ApplicationRecoveryFinished,0xd78acaf904a2cf36,0x947eff601be3a4af
kernel32.dll,ApplicationRecoveryInProgress,0xd78acaf904a2cf36,0x8dee10154ac0e9f8
kernel32.dll,AreFileApisANSI,0xd78acaf904a2cf36,0xe2c078ac90fcdd7f
kernel32.dll,AssignProcessToJobObject,0xd78acaf904a2cf36,0x557456e242e573ab
kernel32.dll,AttachConsole,0xd78acaf904a2cf36,0x66e9334d15bc4906
kernel32.dll,BackupRead,0xd78acaf904a2cf36,0xf02917489798fb26
kernel32.dll,BackupSeek,0xd78acaf904a2cf36,0x77f2eccf9994e748
kernel32.dll,BackupWrite,0xd78acaf904a2cf36,0x9110083437fb0a31
kernel32.dll,BaseCheckAppcompatCache,0xd78acaf904a2cf36,0x2ef4fc81b0ce4051
kernel32.dll,BaseCheckAppcompatCacheEx,0xd78acaf904a2cf36,0x653d74730ceac020
kernel32.dll,BaseCheckAppcompatCacheExWorker,0xd78acaf904a2cf36,0x9af0927221f51df1
kernel32.dll,BaseCheckAppcompatCacheWorker,0xd78acaf904a2cf36,0x9acaeaa5bbc15142
kernel32.dll,BaseCheckElevation,0xd78acaf904a2cf36,0x17858d3dbee049dd
kernel32.dll,BaseCleanupAppcompatCacheSupport,0xd78acaf904a2cf36,0x56126371b68e0104
kernel32.dll,BaseCleanupAppcompatCacheSupportWorker,0xd78acaf904a2cf36,0x28a342400167731e
kernel32.dll,BaseDestroyVDMEnvironment,0xd78acaf904a2cf36,0xda8d38a0edc2f97b
